accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
0.48817554116249084,0.49377262592315674,1.4359787702560425,0.7954823970794678,0.48484525084495544,0.20079681277275085,0.5063496232032776,1.2838950157165527,0.75,0.0014940239489078522,0.0010000000474974513
0.5073849558830261,0.4937151372432709,1.0987200736999512,0.7982107400894165,0.5141942501068115,0.800000011920929,0.5025778412818909,0.7705770134925842,0.800000011920929,1.0,0.0010000000474974513
0.5048236846923828,0.5033189058303833,0.9322229027748108,0.8034682273864746,0.504375696182251,0.20079681277275085,0.5055261850357056,0.8690080642700195,1.0,0.0009960159659385681,0.0010000000474974513
0.4956885576248169,0.49618208408355713,0.8496957421302795,0.7985859513282776,0.49423691630363464,0.800000011920929,0.5007901191711426,0.7070780396461487,0.8002392053604126,0.9995020031929016,0.0010000000474974513
0.5038845539093018,0.505011260509491,0.799697995185852,0.8009470701217651,0.5054429173469543,0.798804759979248,0.4950680434703827,0.7457815408706665,0.7997606992721558,0.9985059499740601,0.0010000000474974513
0.5196790099143982,0.5053646564483643,0.7698544263839722,0.805084764957428,0.527214527130127,0.20079681277275085,0.4994196593761444,0.7797327041625977,0.6666666865348816,0.0019920319318771362,0.0010000000474974513
0.494493305683136,0.4998992085456848,0.750729501247406,0.7986147403717041,0.49220916628837585,0.800000011920929,0.505318820476532,0.6944000124931335,0.800000011920929,1.0,0.0010000000474974513
0.5178861021995544,0.508106529712677,0.7357263565063477,0.8035219311714172,0.5259338021278381,0.20000000298023224,0.4900740683078766,0.933284342288971,0.5,0.0004980079829692841,0.0010000000474974513
0.5042260885238647,0.5019387602806091,0.7316320538520813,0.8032340407371521,0.5036286115646362,0.20000000298023224,0.49831849336624146,0.9536057710647583,0.0,0.0,0.0010000000474974513
0.48646801710128784,0.4886589050292969,0.7276853919029236,0.7953864932060242,0.4820704460144043,0.20000000298023224,0.5059388875961304,0.7768974304199219,0.5,0.0004980079829692841,0.0010000000474974513
0.5316315293312073,0.4986361563205719,0.7220096588134766,0.7991374135017395,0.5536819696426392,0.800000011920929,0.49626198410987854,0.5569355487823486,0.800000011920929,1.0,0.0010000000474974513
0.47383248805999756,0.49259379506111145,0.7198864817619324,0.7931980490684509,0.4629669189453125,0.7996016144752502,0.5193468332290649,0.6749839782714844,0.7999202609062195,0.9995020031929016,0.0010000000474974513
0.4934687912464142,0.49421626329421997,0.7192371487617493,0.7965487241744995,0.4926360845565796,0.800000011920929,0.516706645488739,0.6206607222557068,0.800000011920929,1.0,0.0010000000474974513
0.5322291254997253,0.49963870644569397,0.7167994379997253,0.800000011920929,0.5536819696426392,0.800000011920929,0.5035515427589417,0.6832869052886963,0.800000011920929,1.0,0.0010000000474974513
0.4996158182621002,0.5005889534950256,0.7199745774269104,0.8012017011642456,0.49807897210121155,0.20000000298023224,0.5043753981590271,0.9980444312095642,0.0,0.0,0.0010000000474974513
0.49816444516181946,0.4938771426677704,0.7190219759941101,0.7967368960380554,0.5003201961517334,0.800000011920929,0.5030648708343506,0.5806325078010559,0.800000011920929,1.0,0.0010000000474974513
0.4680269658565521,0.4920814037322998,0.7108032703399658,0.794079065322876,0.45229455828666687,0.20000000298023224,0.498697429895401,0.7773078680038452,0.0,0.0,0.00020000000949949026
0.47110047936439514,0.507064938545227,0.7060501575469971,0.8073571920394897,0.4450373649597168,0.800000011920929,0.49849653244018555,0.691847562789917,0.800000011920929,1.0,0.00020000000949949026
0.48612651228904724,0.5002146363258362,0.7044297456741333,0.8011863827705383,0.4756670296192169,0.20119522511959076,0.4997519552707672,0.7074584364891052,1.0,0.0014940239489078522,0.00020000000949949026
0.4987620711326599,0.49759238958358765,0.7026736736297607,0.7978886365890503,0.5001067519187927,0.20039840042591095,0.5017326474189758,0.7138440608978271,1.0,0.0004980079829692841,0.00020000000949949026
0.4919320344924927,0.49515315890312195,0.7017427086830139,0.7986026406288147,0.4879402220249176,0.20000000298023224,0.5034950375556946,0.7335895299911499,0.0,0.0,0.00020000000949949026
0.5078971982002258,0.504275918006897,11.663824081420898,0.8026183247566223,0.5103521943092346,0.6808764934539795,0.49381062388420105,11.277244567871094,0.7953989505767822,0.8092629313468933,9.999999747378752e-06
0.508580207824707,0.5100533366203308,11.565463066101074,0.8063750267028809,0.5075773596763611,0.6462151408195496,0.4937734305858612,11.233855247497559,0.795983076095581,0.75,9.999999747378752e-06
0.5161786079406738,0.5343108177185059,11.440389633178711,0.8168749213218689,0.5093916654586792,0.6434262990951538,0.4927853047847748,11.162660598754883,0.7958532571792603,0.745517909526825,9.999999747378752e-06
0.5250576138496399,0.540629506111145,11.358689308166504,0.8207244873046875,0.5198506116867065,0.6346613764762878,0.48924127221107483,11.087979316711426,0.7906233072280884,0.7390438318252563,9.999999747378752e-06
0.5289849042892456,0.5547322630882263,11.252913475036621,0.8219956755638123,0.5248665809631348,0.6406374573707581,0.4894545078277588,11.00414752960205,0.7904411554336548,0.7495020031929016,9.999999747378752e-06
0.528216540813446,0.5756112933158875,11.14528751373291,0.8285470008850098,0.5172892212867737,0.6378486156463623,0.4924217760562897,10.929085731506348,0.7918215394020081,0.7425298690795898,9.999999747378752e-06
0.5426449179649353,0.57735675573349,11.061601638793945,0.83469557762146,0.5340448021888733,0.6334661245346069,0.4913151264190674,10.850369453430176,0.7905982732772827,0.737051784992218,9.999999747378752e-06
